agari_id,kyoku_id,hanchan_id,room_class_label,agari_epoch_s,winner_rel_seat,winner_name,from_rel_seat,from_name,is_tsumo,winning_tile_136,winning_tile_37_text,deal_in_discard_id,deal_in_round_discard_index,estimated_danger_percent,danger_estimate_source,agari_state_snapshot_json
20260410105309_0100_agari_064,20260410105309_0100,20260410105309,上級卓,1775786355,1,かずきかずき,0,パシフィック,0,44,3p,20260410105309_0100_055,55,22.4,self_pre_discard_hand,
20260410105309_0101_agari_174,20260410105309_0101,20260410105309,上級卓,1775786515,2,マタギ,3,セイジ,0,84,4s,20260410105309_0101_037,37,17.5,synthetic_tile,
20260410105309_0200_agari_246,20260410105309_0200,20260410105309,上級卓,1775786615,2,マタギ,0,パシフィック,0,124,5z,20260410105309_0200_022,22,2.0,self_pre_discard_hand,
20260410111346_0000_agari_196,20260410111346_0000,20260410111346,上級卓,1775787511,3,rinjan,3,rinjan,1,9,3m,,,,,
20260410111346_0200_agari_248,20260410111346_0200,20260410111346,上級卓,1775787899,2,やまだたろう,2,やまだたろう,1,128,6z,,,,,
20260410111346_0300_agari_313,20260410111346_0300,20260410111346,上級卓,1775788001,0,パシフィック,2,やまだたろう,0,121,4z,20260410111346_0300_021,21,1.0,synthetic_tile,
20260410111346_0400_agari_487,20260410111346_0400,20260410111346,上級卓,1775788305,1,ミカパパママ,0,パシフィック,0,95,6s,20260410111346_0400_061,61,1.6,self_pre_discard_hand,
20260410125516_0000_agari_159,20260410125516_0000,20260410125516,一般卓,1775793497,0,パシフィック,0,パシフィック,1,16,r5m,,,,,
20260410130016_0000_agari_084,20260410130016_0000,20260410130016,特上卓,1775793722,1,優歩,1,優歩,1,89,5s,,,,,
20260410130016_0100_agari_248,20260410130016_0100,20260410130016,特上卓,1775793927,2,【TM】,0,s6u,0,88,r5s,20260410130016_0100_059,59,14.0,self_pre_discard_hand,
20260410130016_0201_agari_577,20260410130016_0201,20260410130016,特上卓,1775794355,2,【TM】,2,【TM】,1,112,2z,,,,,
20260410130016_0202_agari_735,20260410130016_0202,20260410130016,特上卓,1775794536,0,s6u,0,s6u,1,42,2p,,,,,
20260410130016_0301_agari_1019,20260410130016_0301,20260410130016,特上卓,1775794897,3,Tak1984,3,Tak1984,1,44,3p,,,,,
20260410130016_0302_agari_1151,20260410130016_0302,20260410130016,特上卓,1775795071,2,【TM】,3,Tak1984,0,41,2p,20260410130016_0302_047,47,9.8,synthetic_tile,
20260410130016_0400_agari_1346,20260410130016_0400,20260410130016,特上卓,1775795344,1,優歩,1,優歩,1,41,2p,,,,,
20260410130016_0500_agari_1490,20260410130016_0500,20260410130016,特上卓,1775795512,1,優歩,1,優歩,1,62,7p,,,,,
20260410130016_0602_agari_1774,20260410130016_0602,20260410130016,特上卓,1775795872,3,Tak1984,2,【TM】,0,35,9m,20260410130016_0602_031,31,9.5,synthetic_tile,
20260410130016_0700_agari_1922,20260410130016_0700,20260410130016,特上卓,1775796081,2,【TM】,0,s6u,0,18,5m,20260410130016_0700_052,52,17.2,self_pre_discard_hand,
20260410203139_0000_agari_114,20260410203139_0000,20260410203139,特上卓,1775820822,1,だいあん,0,s6u,0,16,r5m,20260410203139_0000_035,35,22.3,self_pre_discard_hand,
20260410203139_0001_agari_246,20260410203139_0001,20260410203139,特上卓,1775820987,2,カヴァレリッツォ,0,s6u,0,4,2m,20260410203139_0001_045,45,3.0,self_pre_discard_hand,
20260410203139_0100_agari_345,20260410203139_0100,20260410203139,特上卓,1775821124,3,oxy13,0,s6u,0,83,3s,20260410203139_0100_034,34,14.9,self_pre_discard_hand,
20260410203139_0200_agari_444,20260410203139_0200,20260410203139,特上卓,1775821252,3,oxy13,0,s6u,0,29,8m,20260410203139_0200_033,33,13.3,self_pre_discard_hand,
20260410203139_0201_agari_539,20260410203139_0201,20260410203139,特上卓,1775821363,0,s6u,0,s6u,1,29,8m,,,,,
20260410203139_0300_agari_626,20260410203139_0300,20260410203139,特上卓,1775821462,2,カヴァレリッツォ,2,カヴァレリッツォ,1,101,8s,,,,,
20260410203139_0400_agari_720,20260410203139_0400,20260410203139,特上卓,1775821570,3,oxy13,1,だいあん,0,74,1s,20260410203139_0400_031,31,23.7,synthetic_tile,
20260410203139_0601_agari_1085,20260410203139_0601,20260410203139,特上卓,1775821986,0,s6u,3,oxy13,0,33,9m,20260410203139_0601_063,63,12.2,synthetic_tile,
20260410203139_0700_agari_1188,20260410203139_0700,20260410203139,特上卓,1775822107,2,カヴァレリッツォ,0,s6u,0,92,6s,20260410203139_0700_035,35,35.6,self_pre_discard_hand,
20260410205907_0000_agari_107,20260410205907_0000,20260410205907,特上卓,1775822473,1,Skam5963,2,岡本恭輔,0,55,5p,20260410205907_0000_036,36,16.6,synthetic_tile,
20260410205907_0100_agari_221,20260410205907_0100,20260410205907,特上卓,1775822624,0,s6u,0,s6u,1,13,4m,,,,,
20260410205907_0200_agari_392,20260410205907_0200,20260410205907,特上卓,1775822852,2,岡本恭輔,2,岡本恭輔,1,30,8m,,,,,
20260410205907_0300_agari_511,20260410205907_0300,20260410205907,特上卓,1775823025,1,Skam5963,0,s6u,0,52,r5p,20260410205907_0300_041,41,22.3,self_pre_discard_hand,
20260410205907_0301_agari_668,20260410205907_0301,20260410205907,特上卓,1775823233,0,s6u,0,s6u,1,52,r5p,,,,,
20260410205907_0400_agari_789,20260410205907_0400,20260410205907,特上卓,1775823407,0,s6u,0,s6u,1,5,2m,,,,,
20260410205907_0500_agari_940,20260410205907_0500,20260410205907,特上卓,1775823572,3,ShinChi,0,s6u,0,87,4s,20260410205907_0500_055,55,26.3,self_pre_discard_hand,
20260410205907_0501_agari_1056,20260410205907_0501,20260410205907,特上卓,1775823762,3,ShinChi,3,ShinChi,1,26,7m,,,,,
20260410205907_0503_agari_1368,20260410205907_0503,20260410205907,特上卓,1775824188,1,Skam5963,0,s6u,0,64,8p,20260410205907_0503_036,36,14.1,self_pre_discard_hand,
20260410205907_0600_agari_166,20260410205907_0600,20260410205907,特上卓,1775824464,1,Skam5963,1,Skam5963,1,38,1p,,,,,
20260410205907_0700_agari_315,20260410205907_0700,20260410205907,特上卓,1775824642,2,岡本恭輔,3,ShinChi,0,105,9s,20260410205907_0700_052,52,23.4,synthetic_tile,
20260410213820_0000_agari_167,20260410213820_0000,20260410213820,特上卓,1775824883,0,s6u,1,月下論,0,55,5p,20260410213820_0000_056,56,22.7,synthetic_tile,
20260410213820_0100_agari_277,20260410213820_0100,20260410213820,特上卓,1775825040,3,大樹氷２５％,3,大樹氷２５％,1,93,6s,,,,,
20260410213820_0200_agari_351,20260410213820_0200,20260410213820,特上卓,1775825143,0,s6u,0,s6u,1,2,1m,,,,,
