discard_id,kyoku_id,hanchan_id,room_class_label,player_rel_seat,player_name,discard_tile_136,discard_tile_37_text,tsumogiri_flag,discard_epoch_s,thinking_time_ms,thinking_time_before_reach_ms,lagged,lag_delay_ms,seat0_hand_tiles_136_json,seat1_hand_tiles_136_json,seat2_hand_tiles_136_json,seat3_hand_tiles_136_json,seat0_hand_tiles_37_text,seat1_hand_tiles_37_text,seat2_hand_tiles_37_text,seat3_hand_tiles_37_text,shanten_after_discard,shanten_normal_after_discard,shanten_chiitoitsu_after_discard,wait_tiles_after_discard_mspz,ryanmen_fixed_flag,pystyle_top1_tile_37_text,pystyle_top1_expected_value_text,pystyle_top2_tile_37_text,pystyle_top2_expected_value_text,pystyle_top3_tile_37_text,pystyle_top3_expected_value_text
20260501100319_0000_000,20260501100319_0000,20260501100319,特上卓,2,Didi,72,1s,tedashi,1777597406,,,0,,"[21,131,18,25,17,70,67,64,78,53,112,84,28]",,,,55678m 5889p 24s 26z,,,,,,,,,,,,,,
20260501100319_0000_001,20260501100319_0000,20260501100319,特上卓,3,フレーゲデパルト,116,3z,tedashi,1777597407,1176.754,,0,,"[21,131,18,25,17,70,67,64,78,53,112,84,28]",,,,55678m 5889p 24s 26z,,,,,,,,,,,,,,
20260501100319_0000_002,20260501100319_0000,20260501100319,特上卓,0,s6u,112,2z,tedashi,1777597409,1630.294,,0,,"[21,131,18,25,17,70,67,64,78,53,112,84,28,20]",,,,556678m 5889p 24s 26z,,,,3,3,3,,0,,,,,,
20260501100319_0000_003,20260501100319_0000,20260501100319,特上卓,1,n675,115,2z,tedashi,1777597413,4236.82,,0,,"[21,131,18,25,17,70,67,64,78,53,84,28,20]",,,,556678m 5889p 24s 6z,,,,,,,,,,,,,,
20260501100319_0000_004,20260501100319_0000,20260501100319,特上卓,2,Didi,32,9m,tedashi,1777597419,5967.975,,0,,"[21,131,18,25,17,70,67,64,78,53,84,28,20]",,,,556678m 5889p 24s 6z,,,,,,,,,,,,,,
20260501100319_0000_005,20260501100319_0000,20260501100319,特上卓,3,フレーゲデパルト,123,4z,tedashi,1777597421,1788.799,,0,,"[21,131,18,25,17,70,67,64,78,53,84,28,20]",,,,556678m 5889p 24s 6z,,,,,,,,,,,,,,
20260501100319_0000_006,20260501100319_0000,20260501100319,特上卓,0,s6u,131,6z,tedashi,1777597423,2762.56,,0,,"[21,131,18,25,17,70,67,64,78,53,84,28,20,5]",,,,2556678m 5889p 24s 6z,,,,3,3,3,,0,,,,,,
20260501100319_0000_007,20260501100319_0000,20260501100319,特上卓,1,n675,121,4z,tedashi,1777597427,3210.274,,0,,"[21,18,25,17,70,67,64,78,53,84,28,20,5]",,,,2556678m 5889p 24s,,,,,,,,,,,,,,
20260501100319_0000_008,20260501100319_0000,20260501100319,特上卓,2,Didi,128,6z,tedashi,1777597436,9807.877,,0,,"[21,18,25,17,70,67,64,78,53,84,28,20,5]",,,,2556678m 5889p 24s,,,,,,,,,,,,,,
20260501100319_0000_009,20260501100319_0000,20260501100319,特上卓,3,フレーゲデパルト,60,7p,tedashi,1777597441,4526.56,,1,1624.573,"[21,18,25,17,70,67,64,78,53,84,28,20,5]",,,,2556678m 5889p 24s,,,,,,,,,,,,,,
20260501100319_0000_010,20260501100319_0000,20260501100319,特上卓,0,s6u,113,2z,tsumogiri,1777597445,2655.023,,0,,"[21,18,25,17,70,67,64,78,53,84,28,20,5,113]",,,,2556678m 5889p 24s 2z,,,,3,3,3,,0,,,,,,
20260501100319_0000_011,20260501100319_0000,20260501100319,特上卓,1,n675,109,1z,tedashi,1777597449,3471.633,,0,,"[21,18,25,17,70,67,64,78,53,84,28,20,5]",,,,2556678m 5889p 24s,,,,,,,,,,,,,,
20260501100319_0000_012,20260501100319_0000,20260501100319,特上卓,2,Didi,132,7z,tedashi,1777597452,3310.357,,0,,"[21,18,25,17,70,67,64,78,53,84,28,20,5]",,,,2556678m 5889p 24s,,,,,,,,,,,,,,
20260501100319_0000_013,20260501100319_0000,20260501100319,特上卓,3,フレーゲデパルト,117,3z,risekichu_hokan_tsumogiri,1777597454,1897.324,,0,,"[21,18,25,17,70,67,64,78,53,84,28,20,5]",,,,2556678m 5889p 24s,,,,,,,,,,,,,,
20260501100319_0000_014,20260501100319_0000,20260501100319,特上卓,0,s6u,120,4z,tsumogiri,1777597456,2137.906,,0,,"[21,18,25,17,70,67,64,78,53,84,28,20,5,120]",,,,2556678m 5889p 24s 4z,,,,3,3,3,,0,,,,,,
20260501100319_0000_015,20260501100319_0000,20260501100319,特上卓,1,n675,36,1p,risekichu_hokan_tsumogiri,1777597459,2632.714,,1,17845.581,"[21,18,25,17,70,67,64,78,53,84,28,20,5]",,,,2556678m 5889p 24s,,,,,,,,,,,,,,
20260501100319_0000_016,20260501100319_0000,20260501100319,特上卓,2,Didi,31,8m,risekichu_hokan_tsumogiri,1777597479,2479.054,,0,,"[21,18,25,17,70,67,64,78,53,84,28,20,5]",,,,2556678m 5889p 24s,,,,,,,,,,,,,,
20260501100319_0000_017,20260501100319_0000,20260501100319,特上卓,3,フレーゲデパルト,75,1s,tedashi,1777597482,3370.396,,0,,"[21,18,25,17,70,67,64,78,53,84,28,20,5]",,,,2556678m 5889p 24s,,,,,,,,,,,,,,
20260501100319_0000_018,20260501100319_0000,20260501100319,特上卓,0,s6u,28,8m,tedashi,1777597490,7421.955,,0,,"[21,18,25,17,70,67,64,78,53,84,28,20,5,68]",,,,2556678m 58899p 24s,,,,2,2,2,,0,,,,,,
20260501100319_0000_019,20260501100319_0000,20260501100319,特上卓,1,n675,74,1s,tedashi,1777597499,8922.656,,0,,"[21,18,25,17,70,67,64,78,53,84,20,5,68]",,,,255667m 58899p 24s,,,,,,,,,,,,,,
20260501100319_0000_020,20260501100319_0000,20260501100319,特上卓,2,Didi,111,1z,tedashi,1777597508,8908.452,,0,,"[21,18,25,17,70,67,64,78,53,84,20,5,68]",,,,255667m 58899p 24s,,,,,,,,,,,,,,
20260501100319_0000_021,20260501100319_0000,20260501100319,特上卓,3,フレーゲデパルト,30,8m,tedashi,1777597509,1664.64,,6,219.339,"[21,18,25,17,70,67,64,78,53,84,20,5,68]",,,,255667m 58899p 24s,,,,,,,,,,,,,,
20260501100319_0000_022,20260501100319_0000,20260501100319,特上卓,0,s6u,78,2s,tedashi,1777597512,2771.769,,1,1450.372,"[21,18,25,17,70,67,64,78,53,84,20,5,68,88]",,,,255667m 58899p 24r5s,,,,2,2,2,,0,,,,,,
20260501100319_0000_023,20260501100319_0000,20260501100319,特上卓,1,n675,9,3m,tedashi,1777597517,3302.633,,0,,"[21,18,25,17,70,67,64,53,84,20,5,68,88]",,,,255667m 58899p 4r5s,,,,,,,,,,,,,,
20260501100319_0000_024,20260501100319_0000,20260501100319,特上卓,2,Didi,118,3z,risekichu_hokan_tsumogiri,1777597522,4649.5,,0,,"[21,18,25,17,70,67,64,53,84,20,5,68,88]",,,,255667m 58899p 4r5s,,,,,,,,,,,,,,
20260501100319_0000_025,20260501100319_0000,20260501100319,特上卓,3,フレーゲデパルト,133,7z,risekichu_hokan_tsumogiri,1777597524,2009.661,,0,,"[21,18,25,17,70,67,64,53,84,20,5,68,88]",,,,255667m 58899p 4r5s,,,,,,,,,,,,,,
20260501100319_0000_026,20260501100319_0000,20260501100319,特上卓,0,s6u,53,5p,tedashi,1777597526,2391.267,,0,,"[21,18,25,17,70,67,64,53,84,20,5,68,88,8]",,,,2355667m 58899p 4r5s,,,,2,2,2,,0,,,,,,
20260501100319_0000_027,20260501100319_0000,20260501100319,特上卓,1,n675,102,8s,tedashi,1777597534,7759.829,,1,12720.43,"[21,18,25,17,70,67,64,84,20,5,68,88,8]",,,,2355667m 8899p 4r5s,,,,,,,,,,,,,,
