discard_id,kyoku_id,hanchan_id,kyoku_info,player_rel_seat,player_name,discard_tile_136,discard_tile_37_text,tsumogiri_flag,discard_epoch_s,thinking_time_ms,thinking_time_before_reach_ms,lagged,lag_delay_ms,seat0_hand_tiles_136_json,seat1_hand_tiles_136_json,seat2_hand_tiles_136_json,seat3_hand_tiles_136_json,seat0_hand_tiles_37_text,seat1_hand_tiles_37_text,seat2_hand_tiles_37_text,seat3_hand_tiles_37_text,shanten_after_discard,shanten_normal_after_discard,shanten_chiitoitsu_after_discard,wait_tiles_after_discard_mspz,ryanmen_fixed_flag
20260403143738_0002_000,20260403143738_0002,20260403143738,2,2,qinqin7,34,9m,confirmed_tedashi,1775194665,7479.344,,0,,"[44,94,56,72,36,9,118,114,98,110,132,65,85,11]","[38,46,5,55,48,60,6,0,131,122,107,26,41]","[106,49,90,73,103,121,123,127,133,66,125,108,130]","[43,22,82,45,100,40,102,8,58,57,61,80,71]",33m 1368p 1467s 1237z,1227m 123457p 9s 46z,48p 1589s 1445567z,36m 2236679p 3388s,,,,,
20260403143738_0002_001,20260403143738_0002,20260403143738,2,3,eita,71,9p,confirmed_tedashi,1775194668,2657.674,,0,,"[44,94,56,72,36,9,118,114,98,110,132,65,85,11]","[38,46,5,55,48,60,6,0,131,122,107,26,41]","[106,49,90,73,103,121,123,127,133,66,125,108,130]","[43,22,82,45,100,40,102,8,58,57,61,80,129]",33m 1368p 1467s 1237z,1227m 123457p 9s 46z,48p 1589s 1445567z,36m 223667p 3388s 6z,,,,,
20260403143738_0002_002,20260403143738_0002,20260403143738,2,0,パシフィック,86,4s,confirmed_tedashi,1775194669,1290.247,,0,,"[44,94,56,72,36,9,118,114,98,110,132,65,85,11]","[38,46,5,55,48,60,6,0,131,122,107,26,41]","[106,49,90,73,103,121,123,127,133,66,125,108,130]","[43,22,82,45,100,40,102,8,58,57,61,80,129]",33m 1368p 1467s 1237z,1227m 123457p 9s 46z,48p 1589s 1445567z,36m 223667p 3388s 6z,4,4,5,,0
20260403143738_0002_003,20260403143738_0002,20260403143738,2,1,himeyonn,107,9s,confirmed_tedashi,1775194672,2413.081,,5,1747.272,"[44,94,56,72,36,9,118,114,98,110,132,65,85,11]","[38,46,5,55,48,60,6,0,131,122,26,41,79]","[106,49,90,73,103,121,123,127,133,66,125,108,130]","[43,22,82,45,100,40,102,8,58,57,61,80,129]",33m 1368p 1467s 1237z,1227m 123457p 2s 46z,48p 1589s 1445567z,36m 223667p 3388s 6z,,,,,
20260403143738_0002_004,20260403143738_0002,20260403143738,2,2,qinqin7,28,8m,estimated_tsumogiri,1775194676,2526.103,,0,,"[44,94,56,72,36,9,118,114,98,110,132,65,85,11]","[38,46,5,55,48,60,6,0,131,122,26,41,79]","[106,49,90,73,103,121,123,127,133,66,125,108,130]","[43,22,82,45,100,40,102,8,58,57,61,80,129]",33m 1368p 1467s 1237z,1227m 123457p 2s 46z,48p 1589s 1445567z,36m 223667p 3388s 6z,,,,,
20260403143738_0002_005,20260403143738_0002,20260403143738,2,3,eita,129,6z,confirmed_tedashi,1775194678,2013.17,,0,,"[44,94,56,72,36,9,118,114,98,110,132,65,85,11]","[38,46,5,55,48,60,6,0,131,122,26,41,79]","[106,49,90,73,103,121,123,127,133,66,125,108,130]","[43,22,82,45,100,40,102,8,58,57,61,80,92]",33m 1368p 1467s 1237z,1227m 123457p 2s 46z,48p 1589s 1445567z,36m 223667p 33688s,,,,,
20260403143738_0002_006,20260403143738_0002,20260403143738,2,0,パシフィック,42,2p,confirmed_tsumogiri,1775194683,5019.961,,3,1682.37,"[44,94,56,72,36,9,118,114,98,110,132,65,85,11]","[38,46,5,55,48,60,6,0,131,122,26,41,79]","[106,49,90,73,103,121,123,127,133,66,125,108,130]","[43,22,82,45,100,40,102,8,58,57,61,80,92]",33m 1368p 1467s 1237z,1227m 123457p 2s 46z,48p 1589s 1445567z,36m 223667p 33688s,4,4,5,,0
20260403143738_0002_007,20260403143738_0002,20260403143738,2,1,himeyonn,79,2s,confirmed_tedashi,1775194689,4406.501,,0,,"[44,94,56,72,36,9,118,114,98,110,132,65,85,11]","[38,46,5,55,48,60,6,0,131,122,26,41,68]","[106,49,90,73,103,121,123,127,133,66,125,108,130]","[43,22,82,45,100,40,102,8,58,57,61,80,92]",33m 1368p 1467s 1237z,1227m 1234579p 46z,48p 1589s 1445567z,36m 223667p 33688s,,,,,
20260403143738_0002_008,20260403143738_0002,20260403143738,2,2,qinqin7,66,8p,confirmed_tedashi,1775194693,3483.736,,3,1032.454,"[44,94,56,72,36,9,118,114,98,110,132,65,85,11]","[38,46,5,55,48,60,6,0,131,122,26,41,68]","[106,49,90,73,103,121,123,127,133,125,108,130,135]","[43,22,82,45,100,40,102,8,58,57,61,80,92]",33m 1368p 1467s 1237z,1227m 1234579p 46z,4p 1589s 14455677z,36m 223667p 33688s,,,,,
20260403143738_0002_009,20260403143738_0002,20260403143738,2,3,eita,58,6p,confirmed_tedashi,1775194696,2345.454,,0,,"[44,94,56,72,36,9,118,114,98,110,132,65,85,11]","[38,46,5,55,48,60,6,0,131,122,26,41,68]","[106,49,90,73,103,121,123,127,133,125,108,130,135]","[43,22,82,45,100,40,102,8,57,61,80,92,19]",33m 1368p 1467s 1237z,1227m 1234579p 46z,4p 1589s 14455677z,356m 22367p 33688s,,,,,
