discard_id,kyoku_id,hanchan_id,kyoku_info,player_rel_seat,player_name,discard_tile_136,discard_tile_37_text,tsumogiri_flag,discard_epoch_s,thinking_time_ms,thinking_time_before_reach_ms,lagged,lag_delay_ms,seat0_hand_tiles_136_json,seat1_hand_tiles_136_json,seat2_hand_tiles_136_json,seat3_hand_tiles_136_json,seat0_hand_tiles_37_text,seat1_hand_tiles_37_text,seat2_hand_tiles_37_text,seat3_hand_tiles_37_text,shanten_after_discard,shanten_normal_after_discard,shanten_chiitoitsu_after_discard,wait_tiles_after_discard_mspz,ryanmen_fixed_flag,pystyle_top1_tile_37_text,pystyle_top1_expected_value_text,pystyle_top2_tile_37_text,pystyle_top2_expected_value_text,pystyle_top3_tile_37_text,pystyle_top3_expected_value_text
20260409110743_0000_000,20260409110743_0000,20260409110743,0000,2,mezzuj-2,123,4z,tedashi,1775700470,,,0,,"[99,70,50,37,66,108,15,90,88,2,102,64,44]",,,,14m 134889p r5578s 1z,,,,,,,,,,,,,,
20260409110743_0000_001,20260409110743_0000,20260409110743,0000,3,QryanQ,119,3z,tedashi,1775700471,1597.339,,0,,"[99,70,50,37,66,108,15,90,88,2,102,64,44]",,,,14m 134889p r5578s 1z,,,,,,,,,,,,,,
20260409110743_0000_002,20260409110743_0000,20260409110743,0000,0,s6u,2,1m,tedashi,1775700475,3527.193,,0,,"[99,70,50,37,66,108,15,90,88,2,102,64,44,97]",,,,14m 134889p r55778s 1z,,,,3,4,3,,0,,,,,,
20260409110743_0000_003,20260409110743_0000,20260409110743,0000,1,santal,107,9s,risekichu_hokan_tsumogiri,1775700477,1725.076,,0,,"[99,70,50,37,66,108,15,90,88,102,64,44,97]",,,,4m 134889p r55778s 1z,,,,,,,,,,,,,,
20260409110743_0000_004,20260409110743_0000,20260409110743,0000,2,mezzuj-2,132,7z,tedashi,1775700485,8467.841,,0,,"[99,70,50,37,66,108,15,90,88,102,64,44,97]",,,,4m 134889p r55778s 1z,,,,,,,,,,,,,,
20260409110743_0000_005,20260409110743_0000,20260409110743,0000,3,QryanQ,120,4z,risekichu_hokan_tsumogiri,1775700487,1685.009,,0,,"[99,70,50,37,66,108,15,90,88,102,64,44,97]",,,,4m 134889p r55778s 1z,,,,,,,,,,,,,,
20260409110743_0000_006,20260409110743_0000,20260409110743,0000,0,s6u,108,1z,tedashi,1775700494,7079.17,,0,,"[99,70,50,37,66,108,15,90,88,102,64,44,97,60]",,,,4m 1347889p r55778s 1z,,,,3,3,3,,0,1z,1996pt,1p,1983pt,8p,1923pt
20260409110743_0000_007,20260409110743_0000,20260409110743,0000,1,santal,109,1z,tedashi,1775700497,2627.008,,0,,"[99,70,50,37,66,15,90,88,102,64,44,97,60]",,,,4m 1347889p r55778s,,,,,,,,,,,,,,
20260409110743_0000_008,20260409110743_0000,20260409110743,0000,2,mezzuj-2,38,1p,tedashi,1775700499,2277.572,,6,321.181,"[99,70,50,37,66,15,90,88,102,64,44,97,60]",,,,4m 1347889p r55778s,,,,,,,,,,,,,,
20260409110743_0000_009,20260409110743_0000,20260409110743,0000,3,QryanQ,110,1z,tedashi,1775700501,1615.104,,0,,"[99,70,50,37,66,15,90,88,102,64,44,97,60]",,,,4m 1347889p r55778s,,,,,,,,,,,,,,
20260409110743_0000_010,20260409110743_0000,20260409110743,0000,0,s6u,129,6z,tsumogiri,1775700504,3666.497,,0,,"[99,70,50,37,66,15,90,88,102,64,44,97,60,129]",,,,4m 1347889p r55778s 6z,,,,3,3,3,,0,,,,,,
20260409110743_0000_011,20260409110743_0000,20260409110743,0000,1,santal,125,5z,tedashi,1775700507,2119.56,,0,,"[99,70,50,37,66,15,90,88,102,64,44,97,60]",,,,4m 1347889p r55778s,,,,,,,,,,,,,,
20260409110743_0000_012,20260409110743_0000,20260409110743,0000,2,mezzuj-2,94,6s,tedashi,1775700510,3849.283,,6,377.532,"[99,70,50,37,66,15,90,88,102,64,44,97,60]",,,,4m 1347889p r55778s,,,,,,,,,,,,,,
20260409110743_0000_013,20260409110743_0000,20260409110743,0000,3,QryanQ,72,1s,tedashi,1775700513,1836.572,,0,,"[99,70,50,37,66,15,90,88,102,64,44,97,60]",,,,4m 1347889p r55778s,,,,,,,,,,,,,,
20260409110743_0000_014,20260409110743_0000,20260409110743,0000,0,s6u,37,1p,tedashi,1775700519,6686.656,,0,,"[99,70,50,37,66,15,90,88,102,64,44,97,60,49]",,,,4m 13447889p r55778s,,,,2,2,2,,0,1p,1614pt,4m,1481pt,8p,1457pt
20260409110743_0000_015,20260409110743_0000,20260409110743,0000,1,santal,68,9p,risekichu_hokan_tsumogiri,1775700522,2704.675,,1,1733.43,"[99,70,50,66,15,90,88,102,64,44,97,60,49]",,,,4m 3447889p r55778s,,,,,,,,,,,,,,
20260409110743_0000_016,20260409110743_0000,20260409110743,0000,2,mezzuj-2,116,3z,risekichu_hokan_tsumogiri,1775700525,1514.064,,0,,"[99,70,50,66,15,90,88,102,64,44,97,60,49]",,,,4m 3447889p r55778s,,,,,,,,,,,,,,
20260409110743_0000_017,20260409110743_0000,20260409110743,0000,3,QryanQ,121,4z,risekichu_hokan_tsumogiri,1775700529,3769.931,,0,,"[99,70,50,66,15,90,88,102,64,44,97,60,49]",,,,4m 3447889p r55778s,,,,,,,,,,,,,,
20260409110743_0000_018,20260409110743_0000,20260409110743,0000,0,s6u,70,9p,tedashi,1775700535,5929.123,,1,1604.201,"[99,70,50,66,15,90,88,102,64,44,97,60,49,58]",,,,4m 34467889p r55778s,,,,2,2,2,,0,9p,1843pt,4m,1753pt,8p,1691pt
20260409110743_0000_019,20260409110743_0000,20260409110743,0000,1,santal,101,8s,risekichu_hokan_tsumogiri,1775700538,1895.014,,0,,"[99,50,66,15,90,88,102,64,44,97,60,49,58]",,,,4m 3446788p r55778s,,,,,,,,,,,,,,
20260409110743_0000_020,20260409110743_0000,20260409110743,0000,2,mezzuj-2,89,5s,risekichu_hokan_tsumogiri,1775700541,2922.772,,2,5361.647,"[99,50,66,15,90,88,102,64,44,97,60,49,58]",,,,4m 3446788p r55778s,,,,,,,,,,,,,,
20260409110743_0000_021,20260409110743_0000,20260409110743,0000,0,s6u,15,4m,tedashi,1775700549,2556.297,,1,1278.915,"[99,50,66,15,102,64,44,97,60,49,58]",,,,4m 3446788p 778s,,,,2,2,,,0,,,,,,
20260409110743_0000_022,20260409110743_0000,20260409110743,0000,1,santal,76,2s,tedashi,1775700552,1320.459,,0,,"[99,50,66,102,64,44,97,60,49,58]",,,,3446788p 778s,,,,,,,,,,,,,,
20260409110743_0000_023,20260409110743_0000,20260409110743,0000,2,mezzuj-2,81,3s,tedashi,1775700564,12287.469,,6,362.248,"[99,50,66,102,64,44,97,60,49,58]",,,,3446788p 778s,,,,,,,,,,,,,,
20260409110743_0000_024,20260409110743_0000,20260409110743,0000,3,QryanQ,117,3z,tedashi,1775700573,8169.319,,0,,"[99,50,66,102,64,44,97,60,49,58]",,,,3446788p 778s,,,,,,,,,,,,,,
20260409110743_0000_025,20260409110743_0000,20260409110743,0000,0,s6u,73,1s,tsumogiri,1775700575,1816.651,,0,,"[99,50,66,102,64,44,97,60,49,58,73]",,,,3446788p 1778s,,,,2,2,,,0,,,,,,
20260409110743_0000_026,20260409110743_0000,20260409110743,0000,1,santal,130,6z,risekichu_hokan_tsumogiri,1775700577,2063.157,,0,,"[99,50,66,102,64,44,97,60,49,58]",,,,3446788p 778s,,,,,,,,,,,,,,
20260409110743_0000_027,20260409110743_0000,20260409110743,0000,2,mezzuj-2,86,4s,tedashi,1775700579,2326.4,,6,328.12,"[99,50,66,102,64,44,97,60,49,58]",,,,3446788p 778s,,,,,,,,,,,,,,
