discard_id,kyoku_id,hanchan_id,go_type,go_type_hex,room_class_code,room_class_label,kyoku_info,player_rel_seat,player_name,discard_tile_136,discard_tile_37_text,tsumogiri_flag,discard_epoch_s,thinking_time_ms,thinking_time_before_reach_ms,lagged,lag_delay_ms,seat0_hand_tiles_136_json,seat1_hand_tiles_136_json,seat2_hand_tiles_136_json,seat3_hand_tiles_136_json,seat0_hand_tiles_37_text,seat1_hand_tiles_37_text,seat2_hand_tiles_37_text,seat3_hand_tiles_37_text,shanten_after_discard,shanten_normal_after_discard,shanten_chiitoitsu_after_discard,wait_tiles_after_discard_mspz,ryanmen_fixed_flag,pystyle_top1_tile_37_text,pystyle_top1_expected_value_text,pystyle_top2_tile_37_text,pystyle_top2_expected_value_text,pystyle_top3_tile_37_text,pystyle_top3_expected_value_text
20260410105309_0000_000,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,0,パシフィック,117,3z,tsumogiri,1775785997,,,0,,"[110,101,25,8,93,4,31,51,44,20,36,132,13,117]",,,,234678m 134p 68s 137z,,,,2,2,6,,0,7z,2450pt,1z,2438pt,3z,2431pt
20260410105309_0000_001,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,1,かずきかずき,116,3z,risekichu_hokan_tsumogiri,1775785999,2419.931,,0,,"[110,101,25,8,93,4,31,51,44,20,36,132,13]",,,,234678m 134p 68s 17z,,,,,,,,,,,,,,
20260410105309_0000_002,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,2,マタギ,39,1p,tedashi,1775786002,3313.75,,0,,"[110,101,25,8,93,4,31,51,44,20,36,132,13]",,,,234678m 134p 68s 17z,,,,,,,,,,,,,,
20260410105309_0000_003,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,3,セイジ,38,1p,tedashi,1775786005,2908.71,,0,,"[110,101,25,8,93,4,31,51,44,20,36,132,13]",,,,234678m 134p 68s 17z,,,,,,,,,,,,,,
20260410105309_0000_004,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,0,パシフィック,110,1z,tedashi,1775786009,3426.389,,0,,"[110,101,25,8,93,4,31,51,44,20,36,132,13,80]",,,,234678m 134p 368s 17z,,,,2,2,6,,0,7z,2919pt,1p,2916pt,1z,2913pt
20260410105309_0000_005,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,1,かずきかずき,118,3z,risekichu_hokan_tsumogiri,1775786011,2085.258,,0,,"[101,25,8,93,4,31,51,44,20,36,132,13,80]",,,,234678m 134p 368s 7z,,,,,,,,,,,,,,
20260410105309_0000_006,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,2,マタギ,133,7z,tedashi,1775786014,2950.197,,0,,"[101,25,8,93,4,31,51,44,20,36,132,13,80]",,,,234678m 134p 368s 7z,,,,,,,,,,,,,,
20260410105309_0000_007,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,3,セイジ,34,9m,tedashi,1775786016,2333.218,,2,1635.212,"[101,25,8,93,4,31,51,44,20,36,132,13,80]",,,,234678m 134p 368s 7z,,,,,,,,,,,,,,
20260410105309_0000_008,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,0,パシフィック,36,1p,tedashi,1775786022,4025.16,,1,1161.773,"[101,8,93,4,51,44,20,36,132,13,80]",,,,2346m 134p 368s 7z,,,,2,2,,,0,,,,,,
20260410105309_0000_009,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,1,かずきかずき,123,4z,tedashi,1775786024,885.961,,0,,"[101,8,93,4,51,44,20,132,13,80]",,,,2346m 34p 368s 7z,,,,,,,,,,,,,,
20260410105309_0000_010,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,2,マタギ,130,6z,tedashi,1775786027,2839.179,,0,,"[101,8,93,4,51,44,20,132,13,80]",,,,2346m 34p 368s 7z,,,,,,,,,,,,,,
20260410105309_0000_011,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,3,セイジ,112,2z,risekichu_hokan_tsumogiri,1775786033,6837.712,,0,,"[101,8,93,4,51,44,20,132,13,80]",,,,2346m 34p 368s 7z,,,,,,,,,,,,,,
20260410105309_0000_012,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,0,パシフィック,132,7z,tedashi,1775786040,6449.009,,1,2058.943,"[101,8,93,4,51,44,20,132,13,80,0]",,,,12346m 34p 368s 7z,,,,2,2,,,0,,,,,,
20260410105309_0000_013,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,1,かずきかずき,129,6z,tedashi,1775786042,688.758,,0,,"[101,8,93,4,51,44,20,13,80,0]",,,,12346m 34p 368s,,,,,,,,,,,,,,
20260410105309_0000_014,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,2,マタギ,125,5z,tedashi,1775786044,2324.4,,0,,"[101,8,93,4,51,44,20,13,80,0]",,,,12346m 34p 368s,,,,,,,,,,,,,,
20260410105309_0000_015,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,3,セイジ,114,2z,tedashi,1775786046,1808.03,,0,,"[101,8,93,4,51,44,20,13,80,0]",,,,12346m 34p 368s,,,,,,,,,,,,,,
20260410105309_0000_016,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,0,パシフィック,80,3s,tedashi,1775786052,6239.02,,0,,"[101,8,93,4,51,44,20,13,80,0,3]",,,,112346m 34p 368s,,,,1,1,,,0,,,,,,
20260410105309_0000_017,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,1,かずきかずき,106,9s,tedashi,1775786054,1678.657,,0,,"[101,8,93,4,51,44,20,13,0,3]",,,,112346m 34p 68s,,,,,,,,,,,,,,
20260410105309_0000_018,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,2,マタギ,65,8p,tedashi,1775786058,3644.486,,6,269.916,"[101,8,93,4,51,44,20,13,0,3]",,,,112346m 34p 68s,,,,,,,,,,,,,,
20260410105309_0000_019,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,3,セイジ,128,6z,tedashi,1775786060,2319.857,,0,,"[101,8,93,4,51,44,20,13,0,3]",,,,112346m 34p 68s,,,,,,,,,,,,,,
20260410105309_0000_020,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,0,パシフィック,64,8p,tsumogiri,1775786064,3507.071,,2,1422.507,"[101,8,93,4,51,44,20,13,0,3,64]",,,,112346m 348p 68s,,,,1,1,,,0,,,,,,
20260410105309_0000_021,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,1,かずきかずき,73,1s,tedashi,1775786067,1398.699,,1,1693.554,"[101,8,93,4,51,44,20,13,0,3]",,,,112346m 34p 68s,,,,,,,,,,,,,,
20260410105309_0000_022,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,2,マタギ,1,1m,risekichu_hokan_tsumogiri,1775786070,2207.693,,1,16216.011,"[101,8,93,4,51,44,20,13,0,3]",,,,112346m 34p 68s,,,,,,,,,,,,,,
20260410105309_0000_023,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,3,セイジ,108,1z,tedashi,1775786091,4000.654,,0,,"[101,8,93,4,51,44,20,13,0,3]",,,,112346m 34p 68s,,,,,,,,,,,,,,
20260410105309_0000_024,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,0,パシフィック,119,3z,tsumogiri,1775786097,6696.073,,0,,"[101,8,93,4,51,44,20,13,0,3,119]",,,,112346m 34p 68s 3z,,,,1,1,,,0,,,,,,
20260410105309_0000_025,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,1,かずきかずき,30,8m,risekichu_hokan_tsumogiri,1775786100,2504.977,,1,1846.753,"[101,8,93,4,51,44,20,13,0,3]",,,,112346m 34p 68s,,,,,,,,,,,,,,
20260410105309_0000_026,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,2,マタギ,12,4m,tedashi,1775786104,2549.136,,0,,"[101,8,93,4,51,44,20,13,0,3]",,,,112346m 34p 68s,,,,,,,,,,,,,,
20260410105309_0000_027,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,3,セイジ,41,2p,risekichu_hokan_tsumogiri,1775786109,4468.154,,6,214.028,"[101,8,93,4,51,44,20,13,0,3]",,,,112346m 34p 68s,,,,,,,,,,,,,,
20260410105309_0000_028,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,0,パシフィック,69,9p,tsumogiri,1775786109,491.959,,0,,"[101,8,93,4,51,44,20,13,0,3,69]",,,,112346m 349p 68s,,,,1,1,,,0,,,,,,
20260410105309_0000_029,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,1,かずきかずき,37,1p,tedashi,1775786112,2489.687,,0,,"[101,8,93,4,51,44,20,13,0,3]",,,,112346m 34p 68s,,,,,,,,,,,,,,
20260410105309_0000_030,20260410105309_0000,20260410105309,9,0009,joukyuu,上級卓,0000,2,マタギ,33,9m,tedashi,1775786118,6369.499,,0,,"[101,8,93,4,51,44,20,13,0,3]",,,,112346m 34p 68s,,,,,,,,,,,,,,
20260410105309_0100_001,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,2,マタギ,35,9m,tedashi,1775786178,8494.854,,0,,"[2,19,56,61,65,70,71,88,92,93,111,123,130]",,,,15m 67899p r566s 146z,,,,,,,,,,,,,,
20260410105309_0100_002,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,3,セイジ,37,1p,tedashi,1775786180,2022.779,,0,,"[2,19,56,61,65,70,71,88,92,93,111,123,130]",,,,15m 67899p r566s 146z,,,,,,,,,,,,,,
20260410105309_0100_003,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,0,パシフィック,45,3p,tsumogiri,1775786181,685.061,,0,,"[2,19,56,61,65,70,71,88,92,93,111,123,130,45]",,,,15m 367899p r566s 146z,,,,4,4,4,,0,,,,,,
20260410105309_0100_004,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,1,かずきかずき,28,8m,tedashi,1775786183,2517.261,,0,,"[2,19,56,61,65,70,71,88,92,93,111,123,130]",,,,15m 67899p r566s 146z,,,,,,,,,,,,,,
20260410105309_0100_005,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,2,マタギ,126,5z,tedashi,1775786186,2811.003,,0,,"[2,19,56,61,65,70,71,88,92,93,111,123,130]",,,,15m 67899p r566s 146z,,,,,,,,,,,,,,
20260410105309_0100_006,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,3,セイジ,105,9s,tedashi,1775786188,1488.335,,0,,"[2,19,56,61,65,70,71,88,92,93,111,123,130]",,,,15m 67899p r566s 146z,,,,,,,,,,,,,,
20260410105309_0100_007,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,0,パシフィック,58,6p,tsumogiri,1775786191,3546.166,,1,1656.582,"[2,19,56,61,65,70,71,88,92,93,111,123,130,58]",,,,15m 667899p r566s 146z,,,,3,4,3,,0,,,,,,
20260410105309_0100_008,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,1,かずきかずき,73,1s,risekichu_hokan_tsumogiri,1775786197,3978.352,,1,1565.785,"[2,19,56,61,65,70,71,88,92,93,111,123,130]",,,,15m 67899p r566s 146z,,,,,,,,,,,,,,
20260410105309_0100_009,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,2,マタギ,62,7p,tedashi,1775786202,3973.767,,0,,"[2,19,56,61,65,70,71,88,92,93,111,123,130]",,,,15m 67899p r566s 146z,,,,,,,,,,,,,,
20260410105309_0100_010,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,3,セイジ,121,4z,tedashi,1775786204,1332.618,,0,,"[2,19,56,61,65,70,71,88,92,93,111,123,130]",,,,15m 67899p r566s 146z,,,,,,,,,,,,,,
20260410105309_0100_011,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,0,パシフィック,122,4z,tsumogiri,1775786207,3504.921,,0,,"[2,19,56,61,65,70,71,88,92,93,111,123,130,122]",,,,15m 67899p r566s 1446z,,,,3,3,3,,0,,,,,,
20260410105309_0100_012,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,1,かずきかずき,133,7z,risekichu_hokan_tsumogiri,1775786209,1802.545,,0,,"[2,19,56,61,65,70,71,88,92,93,111,123,130]",,,,15m 67899p r566s 146z,,,,,,,,,,,,,,
20260410105309_0100_013,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,2,マタギ,48,4p,tedashi,1775786212,3376.222,,0,,"[2,19,56,61,65,70,71,88,92,93,111,123,130]",,,,15m 67899p r566s 146z,,,,,,,,,,,,,,
20260410105309_0100_014,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,3,セイジ,132,7z,tedashi,1775786218,5515.719,,0,,"[2,19,56,61,65,70,71,88,92,93,111,123,130]",,,,15m 67899p r566s 146z,,,,,,,,,,,,,,
20260410105309_0100_015,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,0,パシフィック,112,2z,tsumogiri,1775786220,2284.835,,0,,"[2,19,56,61,65,70,71,88,92,93,111,123,130,112]",,,,15m 67899p r566s 1246z,,,,4,4,4,,0,,,,,,
20260410105309_0100_016,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,1,かずきかずき,3,1m,risekichu_hokan_tsumogiri,1775786223,2303.36,,0,,"[2,19,56,61,65,70,71,88,92,93,111,123,130]",,,,15m 67899p r566s 146z,,,,,,,,,,,,,,
20260410105309_0100_017,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,2,マタギ,26,7m,risekichu_hokan_tsumogiri,1775786225,2743.867,,6,277.945,"[2,19,56,61,65,70,71,88,92,93,111,123,130]",,,,15m 67899p r566s 146z,,,,,,,,,,,,,,
20260410105309_0100_018,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,3,セイジ,128,6z,tedashi,1775786227,1544.996,,0,,"[2,19,56,61,65,70,71,88,92,93,111,123,130]",,,,15m 67899p r566s 146z,,,,,,,,,,,,,,
20260410105309_0100_019,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,0,パシフィック,90,5s,tsumogiri,1775786230,3379.553,,0,,"[2,19,56,61,65,70,71,88,92,93,111,123,130,90]",,,,15m 67899p r5566s 146z,,,,3,3,3,,0,,,,,,
20260410105309_0100_020,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,1,かずきかずき,110,1z,tedashi,1775786233,2854.73,,0,,"[2,19,56,61,65,70,71,88,92,93,111,123,130]",,,,15m 67899p r566s 146z,,,,,,,,,,,,,,
20260410105309_0100_021,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,2,マタギ,115,2z,tedashi,1775786241,7543.793,,0,,"[2,19,56,61,65,70,71,88,92,93,111,123,130]",,,,15m 67899p r566s 146z,,,,,,,,,,,,,,
20260410105309_0100_022,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,3,セイジ,106,9s,risekichu_hokan_tsumogiri,1775786244,2817.761,,0,,"[2,19,56,61,65,70,71,88,92,93,111,123,130]",,,,15m 67899p r566s 146z,,,,,,,,,,,,,,
20260410105309_0100_023,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,0,パシフィック,55,5p,tsumogiri,1775786246,2042.424,,1,1756.068,"[2,19,56,61,65,70,71,88,92,93,111,123,130,55]",,,,15m 567899p r566s 146z,,,,4,4,4,,0,,,,,,
20260410105309_0100_024,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,1,かずきかずき,98,7s,tedashi,1775786249,1380.924,,0,,"[2,19,56,61,65,70,71,88,92,93,111,123,130]",,,,15m 67899p r566s 146z,,,,,,,,,,,,,,
20260410105309_0100_025,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,2,マタギ,5,2m,tedashi,1775786252,3632.642,,0,,"[2,19,56,61,65,70,71,88,92,93,111,123,130]",,,,15m 67899p r566s 146z,,,,,,,,,,,,,,
20260410105309_0100_026,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,3,セイジ,124,5z,tedashi,1775786258,5262.238,,1,2459.469,"[2,19,56,61,65,70,71,88,92,93,111,123,130]",,,,15m 67899p r566s 146z,,,,,,,,,,,,,,
20260410105309_0100_027,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,0,パシフィック,7,2m,tsumogiri,1775786261,505.36,,1,1719.0,"[2,19,56,61,65,70,71,88,92,93,111,123,130,7]",,,,125m 67899p r566s 146z,,,,3,3,4,,0,,,,,,
20260410105309_0100_028,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,1,かずきかずき,38,1p,tedashi,1775786265,2100.825,,0,,"[2,19,56,61,65,70,71,88,92,93,111,123,130]",,,,15m 67899p r566s 146z,,,,,,,,,,,,,,
20260410105309_0100_029,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,2,マタギ,27,7m,risekichu_hokan_tsumogiri,1775786267,2427.061,,6,336.566,"[2,19,56,61,65,70,71,88,92,93,111,123,130]",,,,15m 67899p r566s 146z,,,,,,,,,,,,,,
20260410105309_0100_034,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,3,セイジ,74,1s,tedashi,1775786297,1837.704,,0,,"[2,19,56,61,65,70,71,88,92,93,111,123,130]",,,,15m 67899p r566s 146z,,,,,,,,,,,,,,
20260410105309_0100_035,20260410105309_0100,20260410105309,9,0009,joukyuu,上級卓,0100,0,パシフィック,123,4z,tedashi,1775786299,2442.191,,0,,"[2,19,56,61,65,70,71,88,92,93,111,123,130,42]",,,,15m 267899p r566s 146z,,,,4,4,4,,0,,,,,,
