player_name,user_memo,analysis_memo,source_url
パシフィック,,,
himeyonn,,,
qinqin7,,,
eita,,,
masa1125,,,
はまはまみこみこ,,,
1963414,,,
キクジ,,,
北北のヨッシーⅡ,,,
マオマオ,,,
エル・シコデリコ,,,
k-mori,,,
913149,,,
百事可楽,,,
Moriotto,,,
michi,,,
Kan73,,,
NoName,,,
爺い,,,
ジャン士S,,,
ゆりあああああ,,,
somen99,,,
ぐんまのかぜ,,,
雀雀雀～,,,
クニエ,,,
Matchi,,,
srvjimi,,,
michi3,,,
フレイヤ,,,
たこぢ,,,
蕎麦が好き,,,
二代目パンパン男,,,
もん太,,,
硬亀頭型ザクⅡ,,,
ラーシャロム,,,
harukun,,,
エスニカン,,,
tera777,,,
ジータス,,,
s6u,,,https://tenhou.net/0/?log=2026051318gm-00a9-0000-14aca989&tw=0
玄化,,,
遠坂式,,,
gbrnrn,,,
コカライア,,,
デラコッコ,"十段ホンイツでも読んで最初の数牌副露押してくる！ターツ落としとか。
悩んだ跨ぎは降りてはいけないところなのに止められてた

東発ションパイ28愚形満貫ダマ
4飜愚形ダマかも

ノータイムプッシュは聴牌だった",,https://tenhou.net/0/?log=2026051419gm-00a9-0000-f20a77b0&tw=3
デバサイ,,,
MERON流,,,
ふか,,,
アフリカ,,,https://tenhou.net/0/?log=2026051716gm-00a9-0000-094dc356&tw=3
B.ムルザバエフ,,,
ハニーマドレーヌ,,,https://tenhou.net/0/?log=2026051419gm-00a9-0000-f20a77b0&tw=3
9sho9,,,
saitosan,,,
ちょんぼ,,,
チョンボゴメン,,,
COM,,,
くいい,,,
愛爾維西亞,,,
Sentoven,両面固定敢えて早く切ってる説がある。,,
Youne,,,
ヴームリン,,,
はぐれメタボ,"親番5800ダマ。ダマ多めではある。
親番細かく和了で連荘狙いがち",,
前髪おいしい,,,
愛人28号,押しすぎでは？親番ラス目とはいえ,,
遠藤幸寛,,,
バリッサ,,,
トシぼう,,,
はわわ軍師!,,,
santal,,,
mezzuj-2,くそダマ寄り,,
QryanQ,,,
SweetBit,,,
ff2,,,
不会配平,,,
キャキャオ,,,
田口,,,
ありえへん,五段なのにクソダマと、南場一切れドラ南くそぬるトップ目放銃,,
たけぽん@tkp,,,
めった斬り,高打点両面ダマあり,,
牙狼104,,,
diid,,,
NEWカザマH,,,
bsd_3,,,
阿部,,,
町田商店美味しい,,,
stark,,,
森田哲雄,伏せて３着で3副露発進親番2着と28000ほど差。,,
紅葉狩,,,
フルハウス777,"六段ぬるいね。リーチケアして自分も二副露だからと二副露に白しょんぱい押し。二軒全ツには見合わない。

タメロンマン！
ラス目ソダマ

遅延行為",,
やんぎ,,,
ほしのてつろう,,,
Vbgdf,,,
sorucano,,,
Kingpin,,,
violeTM,,,
EIJee,"第一打先切り
からの赤5引いて入れ替えの第一打と同じ8s手出し
チャンタかなり見てた手組だった。手出し多いと手役率は高まるよね",,
名ナシ,,,
かずきかずき,,,
マタギ,,,
セイジ,,,
ミカパパママ,,,
やまだたろう,,,
rinjan,,,
MIZUGUCH,,,
みゃーちゃん,,,
jk1968,,,
優歩,,,
【TM】,,,
Tak1984,,,
偏執的文学狂想曲,,,
nari1253,,,
だいあん,,,
カヴァレリッツォ,,,
oxy13,,,
Skam5963,,,
岡本恭輔,,,
ShinChi,1-4s親番終盤寄りツモ切りリーチ！ツモ切りリーチ両面ある,,
月下論,,,
ちむどんどん？,,,
大樹氷２５％,4ハン両面満貫ダマ26/4/10,,
Elseal,,,
GoodYear,,,
LAVA,,,
激弱博徒,,,
土鍋,,,
裏雀士,,,
BaoZL,,,
テクムセ,,,
R09,鳴き無しボタン多い面前進行派→鳴き少し基準高め！,,
皆蔵トマル,,,
きんたまに咲く花,リーチ率18%、副露率32%（鳳凰卓）,,
馬老C,染め居て別色両面を拒否して役牌シャンポン！,,
伽羅猫,,,
あらぽん,"六段親クソダマトップ目注意！
トップ目結構ダマ",,
ごきげんよう！！,,,
革と皮,,,
なかざわーるどう,,,https://tenhou.net/0/?log=2026051512gm-00a9-0000-bd8669ed&tw=3
Lucy3939,,,
幸村シャーク,,,
びびあん,,,
トェェェェェェイ,,,
sbihina,,,
Steven,,,
指導者の祈り拒絶,,,
Tauca,,,
２０２０ＭＥＮＵ,,,
IQ170,,,
あゆみるみる4,,,
かいじゅう２,,,
ヴァッシュ,,,
jijyun,,,
kousal,,,
Shonan,,,
サカ天和,,,
ベリーショートJ,,,
なぽり2026,,,
satochi-,,,
superint,,,
鳥万,,,
ゆうびんやさん,,,
はいれにゃん,,,
オカルト研究会,,,
天江衣,,,
風林火川,,,
紫,"早タイム地獄字牌単騎、見間違い？　確認でない場合でも麻雀の理解浅いことにはなる。
２軒に急なノータイム赤プッシュ、五段だがやっぱ弱い
タメロン
",,
奈月セナ,結構押しすぎ、親リーにとか、外側とか。,,
笑ってコラえて！,,,
sakura丿,,,
199053,,,
こいきき,,,
Fsight,,,
skybit,,,https://tenhou.net/0/?log=2026052023gm-00a9-0000-7ed76616&tw=1
せんざんこうさん,,,
欧陽,くそダマ満貫、くそ先切り23固定,,
シゲルペペ,,,
清水新吾,,,
SAL,,,
高田馬場,,,
hikaru,,,
Sadou,,,
天然ジイ3,,,
よく分からない,,,
gieron,,,
sabiuu,,,
midoriko,,,
ガルガル,,,
sasimize,,,
tetwo54,,,
kimikoo5,,,
秀③,,,
にっしー,,,
江頭5:73,,,
