player_name,n,room_class_main,room_class_main_n,shanten_bins,spearman_shanten_vs_thinking_s,spearman_shanten_vs_log1p_thinking_s,pearson_shanten_vs_log1p_thinking_s,thinking_median_s,thinking_mean_s,thinking_p90_s,median_s_slope_per_shanten,median_s_range_across_shanten,median_s_cv_across_shanten,near_ready_delta_s,n_by_shanten_json,median_s_by_shanten_json,p90_s_by_shanten_json,hanchan_count,hanchan_room_class_main,hanchan_room_class_main_n,table_affiliation,hanchan_room_class_counts_json
s6u,29728,,13732,5,0.1939718418604747,0.1939718418604747,0.1516391086223733,2.0699505,2.8919631098627554,6.022090899999999,0.17110859999999983,1.526205,0.27515505215805236,0.43634799999999974,"{""0"": 5347, ""1"": 8875, ""2"": 9032, ""3"": 4987, ""4"": 1487}","{""0"": 0.936, ""1"": 2.462, ""2"": 2.328, ""3"": 2.058, ""4"": 1.993}","{""0"": 4.101, ""1"": 7.031, ""2"": 6.323, ""3"": 5.175, ""4"": 4.723}",415,特上卓,163,特上卓 (163/415半荘),"{""不明"": 178, ""特上卓"": 163, ""鳳凰卓"": 74}"
パシフィック,1164,上級卓,630,5,0.12175315775206523,0.12175315775206523,0.11268093753116354,2.506127,3.4388509226804125,6.7048676,0.39631034999999964,1.6886324999999998,0.22159373208991057,-0.7901409999999993,"{""0"": 68, ""1"": 248, ""2"": 384, ""3"": 329, ""4"": 135}","{""0"": 1.772, ""1"": 2.467, ""2"": 2.38, ""3"": 3.052, ""4"": 3.461}","{""0"": 5.363, ""1"": 6.958, ""2"": 6.633, ""3"": 6.691, ""4"": 12.258}",68,一般卓,35,一般卓 (35/68半荘),"{""一般卓"": 35, ""上級卓"": 29, ""不明"": 4}"
NoName,558,上級卓,386,5,-0.31473641686793563,-0.31473641686793563,-0.3446070230731684,1.918141,2.259356390681004,4.6491002,-0.21780055000000012,1.5140945,0.29524830309814243,1.1508314999999998,"{""0"": 57, ""1"": 150, ""2"": 145, ""3"": 132, ""4"": 74}","{""0"": 1.59, ""1"": 2.409, ""2"": 2.015, ""3"": 1.621, ""4"": 0.895}","{""0"": 3.614, ""1"": 6.205, ""2"": 4.482, ""3"": 3.427, ""4"": 2.883}",32,一般卓,16,一般卓 (16/32半荘),"{""一般卓"": 16, ""上級卓"": 15, ""不明"": 1}"
lsajie,187,特上卓,187,5,0.07493972140475084,0.07493972140475084,0.058298077816981,2.064629,2.345420663101604,3.8104724000000005,-0.01357865000000036,0.4240449999999998,0.07813224305107148,0.31670175,"{""0"": 49, ""1"": 54, ""2"": 45, ""3"": 32, ""4"": 7}","{""0"": 1.833, ""1"": 2.257, ""2"": 2.159, ""3"": 1.974, ""4"": 1.906}","{""0"": 3.856, ""1"": 4.408, ""2"": 3.813, ""3"": 2.868, ""4"": 2.748}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
tampopo3,183,特上卓,183,5,0.10486777058079363,0.10486777058079363,0.0350108922476475,2.868326,3.6108063551912566,6.863580400000001,0.11440914999999993,1.1721719999999998,0.14844689767164426,0.2621104999999999,"{""0"": 45, ""1"": 53, ""2"": 51, ""3"": 26, ""4"": 8}","{""0"": 2.016, ""1"": 3.037, ""2"": 3.188, ""3"": 2.885, ""4"": 2.664}","{""0"": 6.548, ""1"": 7.532, ""2"": 6.552, ""3"": 5.418, ""4"": 4.366}",2,特上卓,1,特上卓 (1/2半荘),"{""不明"": 1, ""特上卓"": 1}"
Kanako_,181,特上卓,181,5,0.37324261282487764,0.37324261282487764,0.274239337919392,2.244571,2.4696182486187843,3.5889070000000003,0.2689343,1.4540115,0.24445948326531733,-0.1028800000000003,"{""0"": 48, ""1"": 41, ""2"": 60, ""3"": 23, ""4"": 9}","{""0"": 1.121, ""1"": 2.257, ""2"": 2.575, ""3"": 2.251, ""4"": 2.469}","{""0"": 3.199, ""1"": 4.952, ""2"": 3.649, ""3"": 2.895, ""4"": 2.804}",2,特上卓,1,特上卓 (1/2半荘),"{""不明"": 1, ""特上卓"": 1}"
いいけん,181,特上卓,181,5,0.005626855342418897,0.005626855342418897,-0.03988765258102982,1.67523,2.219152856353591,4.088024,-0.002299000000000254,0.42921699999999996,0.08352011899714014,0.27839824999999996,"{""0"": 47, ""1"": 33, ""2"": 57, ""3"": 30, ""4"": 14}","{""0"": 1.522, ""1"": 1.951, ""2"": 1.683, ""3"": 1.719, ""4"": 1.626}","{""0"": 4.36, ""1"": 4.589, ""2"": 4.194, ""3"": 3.124, ""4"": 2.23}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
怯怯,181,特上卓,181,5,0.1646516919366055,0.1646516919366055,0.09972625835000401,2.2601370000000003,2.775680745856353,5.333443,-0.05638574999999995,1.0075805000000002,0.18560312341754293,0.7377890000000003,"{""0"": 52, ""1"": 60, ""2"": 51, ""3"": 10, ""4"": 8}","{""0"": 1.691, ""1"": 2.651, ""2"": 2.387, ""3"": 2.183, ""4"": 1.643}","{""0"": 4.538, ""1"": 5.757, ""2"": 3.994, ""3"": 4.968, ""4"": 2.694}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
FridaW89,179,特上卓,179,5,-0.030846196387642407,-0.030846196387642407,0.017992271197641675,2.083115,2.322541653631285,3.2851366000000004,0.16695509999999986,1.2976885,0.24830299783969204,0.3098795000000001,"{""0"": 26, ""1"": 49, ""2"": 62, ""3"": 28, ""4"": 14}","{""0"": 0.966, ""1"": 2.264, ""2"": 2.149, ""3"": 1.95, ""4"": 1.958}","{""0"": 3.681, ""1"": 4.056, ""2"": 3.26, ""3"": 2.498, ""4"": 2.862}",2,特上卓,1,特上卓 (1/2半荘),"{""不明"": 1, ""特上卓"": 1}"
Tak1984,164,特上卓,164,5,-0.1622445241024495,-0.1622445241024495,-0.15829138301813658,2.2664204999999997,3.161039762195122,6.832680600000005,-0.1420326500000001,1.5836125,0.27141676257850345,1.37424525,"{""0"": 21, ""1"": 76, ""2"": 50, ""3"": 14, ""4"": 3}","{""0"": 1.736, ""1"": 2.983, ""2"": 1.922, ""3"": 1.399, ""4"": 1.818}","{""0"": 8.454, ""1"": 7.813, ""2"": 5.052, ""3"": 2.706, ""4"": 1.864}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
