agari_id,kyoku_id,hanchan_id,room_class_label,agari_epoch_s,winner_rel_seat,winner_name,from_rel_seat,from_name,is_tsumo,winning_tile_136,winning_tile_37_text,deal_in_discard_id,deal_in_round_discard_index,estimated_danger_percent,danger_estimate_source
20260412052922_0000_agari_117,20260412052922_0000,20260412052922,特上卓,1775939448,1,こいきき,1,こいきき,1,16,r5m,,,,
20260412052922_0001_agari_290,20260412052922_0001,20260412052922,特上卓,1775939685,1,こいきき,0,s6u,0,3,1m,20260412052922_0001_062,62,15.5,self_pre_discard_hand
20260412052922_0201_agari_789,20260412052922_0201,20260412052922,特上卓,1775940290,0,s6u,0,s6u,1,28,8m,,,,
20260412052922_0300_agari_851,20260412052922_0300,20260412052922,特上卓,1775940348,0,s6u,2,Fsight,0,103,8s,20260412052922_0300_021,21,14.0,synthetic_tile
20260412052922_0301_agari_946,20260412052922_0301,20260412052922,特上卓,1775940425,1,こいきき,1,こいきき,1,106,9s,,,,
20260412052922_0400_agari_1031,20260412052922_0400,20260412052922,特上卓,1775940518,1,こいきき,2,Fsight,0,30,8m,20260412052922_0400_029,29,11.9,synthetic_tile
20260412055023_0101_agari_121,20260412055023_0101,20260412055023,特上卓,1775941020,2,欧陽,2,欧陽,1,43,2p,,,,
20260412055023_0200_agari_253,20260412055023_0200,20260412055023,特上卓,1775941165,0,s6u,2,欧陽,0,84,4s,20260412055023_0200_048,48,4.0,synthetic_tile
20260412055023_0300_agari_419,20260412055023_0300,20260412055023,特上卓,1775941382,1,せんざんこうさん,1,せんざんこうさん,1,94,6s,,,,
20260412055023_0301_agari_594,20260412055023_0301,20260412055023,特上卓,1775941608,1,せんざんこうさん,3,シゲルペペ,0,23,6m,20260412055023_0301_063,63,43.6,synthetic_tile
20260412055023_0302_agari_771,20260412055023_0302,20260412055023,特上卓,1775941841,2,欧陽,2,欧陽,1,84,4s,,,,
20260413021631_0101_agari_026,20260413021631_0101,20260413021631,一般卓,1776014644,3,ひょうもんたこら,0,パシフィック,0,4,2m,20260413021631_0101_032,32,8.6,self_pre_discard_hand
20260413023111_0000_agari_123,20260413023111_0000,20260413023111,,1776015217,1,sabakan,0,パシフィック,0,33,9m,20260413023111_0000_043,43,11.9,self_pre_discard_hand
