kyoku_id,hanchan_id,room_class_label,honba,kyotaku,oya_rel,seat0_player_name,seat1_player_name,seat2_player_name,seat3_player_name,oya_player_name
20260412052527_0000,20260412052527,上級卓,0,0,1,パシフィック,笑ってコラえて！,sakura丿,199053,笑ってコラえて！
20260412052922_0000,20260412052922,特上卓,0,0,1,s6u,こいきき,Fsight,skybit,こいきき
20260412052922_0001,20260412052922,特上卓,1,0,1,s6u,こいきき,Fsight,skybit,こいきき
20260412052922_0002,20260412052922,特上卓,2,0,1,s6u,こいきき,Fsight,skybit,こいきき
20260412052922_0100,20260412052922,特上卓,0,0,2,s6u,こいきき,Fsight,skybit,Fsight
20260412052922_0201,20260412052922,特上卓,1,0,3,s6u,こいきき,Fsight,skybit,skybit
20260412052922_0300,20260412052922,特上卓,0,0,0,s6u,こいきき,Fsight,skybit,s6u
20260412052922_0301,20260412052922,特上卓,1,0,0,s6u,こいきき,Fsight,skybit,s6u
20260412052922_0400,20260412052922,特上卓,0,0,1,s6u,こいきき,Fsight,skybit,こいきき
20260412055023_0000,20260412055023,特上卓,0,0,2,s6u,せんざんこうさん,欧陽,シゲルペペ,欧陽
20260412055023_0101,20260412055023,特上卓,1,1,3,s6u,せんざんこうさん,欧陽,シゲルペペ,シゲルペペ
20260412055023_0200,20260412055023,特上卓,0,0,0,s6u,せんざんこうさん,欧陽,シゲルペペ,s6u
20260412055023_0201,20260412055023,特上卓,1,0,0,s6u,せんざんこうさん,欧陽,シゲルペペ,s6u
20260412055023_0300,20260412055023,特上卓,0,0,1,s6u,せんざんこうさん,欧陽,シゲルペペ,せんざんこうさん
20260412055023_0301,20260412055023,特上卓,1,0,1,s6u,せんざんこうさん,欧陽,シゲルペペ,せんざんこうさん
20260412055023_0302,20260412055023,特上卓,2,0,1,s6u,せんざんこうさん,欧陽,シゲルペペ,せんざんこうさん
20260412055023_0400,20260412055023,特上卓,0,0,2,s6u,せんざんこうさん,欧陽,シゲルペペ,欧陽
20260412055023_0500,20260412055023,特上卓,0,0,3,s6u,せんざんこうさん,欧陽,シゲルペペ,シゲルペペ
20260412062254_0000,20260412062254,一般卓,0,0,3,パシフィック,清水新吾,SAL,高田馬場,高田馬場
20260412065824_0100,20260412065824,上級卓,0,0,3,パシフィック,hikaru,Sadou,天然ジイ3,天然ジイ3
20260412065843_0000,20260412065843,,0,0,3,パシフィック,よく分からない,NoName,gieron,gieron
20260412143821_0000,20260412143821,一般卓,0,0,0,パシフィック,sabiuu,midoriko,ガルガル,パシフィック
20260412143821_0100,20260412143821,一般卓,0,0,1,パシフィック,sabiuu,midoriko,ガルガル,sabiuu
20260412144902_0000,20260412144902,上級卓,0,0,3,パシフィック,sasimize,tetwo54,kimikoo5,kimikoo5
20260412144902_0101,20260412144902,上級卓,1,1,0,パシフィック,sasimize,tetwo54,kimikoo5,パシフィック
20260412150637_0000,20260412150637,上級卓,0,0,1,パシフィック,秀③,にっしー,NoName,秀③
20260412150637_0101,20260412150637,上級卓,1,0,2,パシフィック,秀③,にっしー,NoName,にっしー
20260412150637_0400,20260412150637,上級卓,0,0,1,パシフィック,秀③,にっしー,NoName,秀③
20260412152012_0000,20260412152012,上級卓,0,0,1,パシフィック,江頭5:73,結城めぐみ,水ラーメン,江頭5:73
20260412152012_0100,20260412152012,上級卓,0,0,2,パシフィック,江頭5:73,結城めぐみ,水ラーメン,結城めぐみ
20260412152541_0000,20260412152541,一般卓,0,1,2,パシフィック,ケンメイ3534,NoName,クルンテープ,NoName
20260412152541_0100,20260412152541,一般卓,0,0,3,パシフィック,ケンメイ3534,NoName,クルンテープ,クルンテープ
20260412152944_0000,20260412152944,上級卓,0,0,1,パシフィック,minimomo,NoName,Moritaxi,minimomo
20260412152944_0400,20260412152944,上級卓,0,1,1,パシフィック,minimomo,NoName,Moritaxi,minimomo
20260412155326_0000,20260412155326,一般卓,0,0,2,パシフィック,とても悲しい,hiro0905,NoName,hiro0905
20260412193706_0000,20260412193706,一般卓,0,0,0,パシフィック,KrlJiKay,サカ天和,akio,パシフィック
20260412213933_0000,20260412213933,一般卓,0,0,0,パシフィック,ゆーだんだん,amarcome,NoName,パシフィック
20260412214113_0000,20260412214113,上級卓,0,0,2,パシフィック,D.G.,kyonta,ひらもと,kyonta
20260413000312_0000,20260413000312,上級卓,0,0,1,パシフィック,NoName,かっちゃん,shin5u2,NoName
20260413021631_0000,20260413021631,一般卓,0,0,2,パシフィック,たけのうち,ネパールカレー,ひょうもんたこら,ネパールカレー
20260413021631_0101,20260413021631,一般卓,1,1,3,パシフィック,たけのうち,ネパールカレー,ひょうもんたこら,ひょうもんたこら
20260413021631_0102,20260413021631,一般卓,2,0,3,パシフィック,たけのうち,ネパールカレー,ひょうもんたこら,ひょうもんたこら
20260413021631_0200,20260413021631,一般卓,0,0,0,パシフィック,たけのうち,ネパールカレー,ひょうもんたこら,パシフィック
20260413023111_0000,20260413023111,,0,0,1,パシフィック,sabakan,Tovenaar,NoName,sabakan
20260413023111_0001,20260413023111,,1,0,1,パシフィック,sabakan,Tovenaar,NoName,sabakan
20260413023111_0002,20260413023111,上級卓,2,1,1,パシフィック,sabakan,Tovenaar,NoName,sabakan
20260413023111_0003,20260413023111,上級卓,3,0,1,パシフィック,sabakan,Tovenaar,NoName,sabakan
