discard_id,kyoku_id,hanchan_id,room_class_label,player_rel_seat,player_name,discard_tile_136,discard_tile_37_text,tsumogiri_flag,discard_epoch_s,thinking_time_ms,thinking_time_before_reach_ms,lagged,lag_delay_ms,seat0_hand_tiles_136_json,seat1_hand_tiles_136_json,seat2_hand_tiles_136_json,seat3_hand_tiles_136_json,seat0_hand_tiles_37_text,seat1_hand_tiles_37_text,seat2_hand_tiles_37_text,seat3_hand_tiles_37_text,shanten_after_discard,shanten_normal_after_discard,shanten_chiitoitsu_after_discard,wait_tiles_after_discard_mspz,ryanmen_fixed_flag,pystyle_top1_tile_37_text,pystyle_top1_expected_value_text,pystyle_top2_tile_37_text,pystyle_top2_expected_value_text,pystyle_top3_tile_37_text,pystyle_top3_expected_value_text
20260412052527_0000_000,20260412052527_0000,20260412052527,上級卓,1,笑ってコラえて！,123,4z,tedashi,1775939134,,,0,,"[60,99,92,38,20,2,63,21,106,119,70,4,52]",,,,1266m 1r5779p 679s 3z,,,,,,,,,,,,,,
20260412052527_0000_001,20260412052527_0000,20260412052527,上級卓,2,sakura丿,111,1z,tedashi,1775939136,1791.012,,0,,"[60,99,92,38,20,2,63,21,106,119,70,4,52]",,,,1266m 1r5779p 679s 3z,,,,,,,,,,,,,,
20260412052527_0000_002,20260412052527_0000,20260412052527,上級卓,3,199053,29,8m,tedashi,1775939139,2580.865,,1,3795.008,"[60,99,92,38,20,2,63,21,106,119,70,4,52]",,,,1266m 1r5779p 679s 3z,,,,,,,,,,,,,,
20260412052527_0000_003,20260412052527_0000,20260412052527,上級卓,0,パシフィック,38,1p,tedashi,1775939146,3738.684,,6,294.902,"[60,99,92,38,20,2,63,21,106,119,70,4,52,48]",,,,1266m 14r5779p 679s 3z,,,,3,3,4,,0,,,,,,
20260412052527_0000_004,20260412052527_0000,20260412052527,上級卓,1,笑ってコラえて！,43,2p,tedashi,1775939152,5829.377,,0,,"[60,99,92,20,2,63,21,106,119,70,4,52,48]",,,,1266m 4r5779p 679s 3z,,,,,,,,,,,,,,
20260412052527_0000_005,20260412052527_0000,20260412052527,上級卓,2,sakura丿,112,2z,tedashi,1775939155,2690.952,,0,,"[60,99,92,20,2,63,21,106,119,70,4,52,48]",,,,1266m 4r5779p 679s 3z,,,,,,,,,,,,,,
20260412052527_0000_006,20260412052527_0000,20260412052527,上級卓,3,199053,115,2z,risekichu_hokan_tsumogiri,1775939158,3285.83,,0,,"[60,99,92,20,2,63,21,106,119,70,4,52,48]",,,,1266m 4r5779p 679s 3z,,,,,,,,,,,,,,
20260412052527_0000_007,20260412052527_0000,20260412052527,上級卓,0,パシフィック,106,9s,tedashi,1775939162,3624.244,,0,,"[60,99,92,20,2,63,21,106,119,70,4,52,48,64]",,,,1266m 4r57789p 679s 3z,,,,2,2,4,,0,,,,,,
20260412052527_0000_008,20260412052527_0000,20260412052527,上級卓,1,笑ってコラえて！,100,8s,tedashi,1775939164,1914.737,,0,,"[60,99,92,20,2,63,21,119,70,4,52,48,64]",,,,1266m 4r57789p 67s 3z,,,,,,,,,,,,,,
20260412052527_0000_009,20260412052527_0000,20260412052527,上級卓,2,sakura丿,69,9p,risekichu_hokan_tsumogiri,1775939166,2239.196,,0,,"[60,99,92,20,2,63,21,119,70,4,52,48,64]",,,,1266m 4r57789p 67s 3z,,,,,,,,,,,,,,
