player_name,user_memo,analysis_memo
パシフィック,,
笑ってコラえて！,,
sakura丿,,
199053,,
s6u,,
こいきき,,
Fsight,,
skybit,,
せんざんこうさん,,
欧陽,くそダマ満貫、くそ先切り23固定,
シゲルペペ,,
清水新吾,,
SAL,,
高田馬場,,
hikaru,,
Sadou,,
天然ジイ3,,
よく分からない,,
NoName,,
gieron,,
sabiuu,,
midoriko,,
ガルガル,,
sasimize,,
tetwo54,,
kimikoo5,,
秀③,,
にっしー,,
江頭5:73,,
結城めぐみ,,
水ラーメン,,
ケンメイ3534,,
クルンテープ,,
minimomo,,
Moritaxi,,
とても悲しい,,
hiro0905,,
KrlJiKay,,
サカ天和,,
akio,,
ゆーだんだん,,
amarcome,,
D.G.,,
kyonta,,
ひらもと,,
かっちゃん,,
shin5u2,,
たけのうち,,
ネパールカレー,,
ひょうもんたこら,,
sabakan,,
Tovenaar,,
crimson,,
ぱぱん2,,
ht-pt,,
喉頭形成術Ⅴ型,,
小田時人,,
わはは,,
ジャーナリスト魂,,
M＆I,,
いちちち,,
アンディだよ。,,
Millio,,
Ds.,,
yhm,,
matsu_r,,
あゆひな68,,
霜一八,,
ABCDC,,
unryu,,
ひろぼうA1,,
ryu1110,,
深海,,
Toshie,,
きんぎょすくい,,
そのまま,,
小助,,
変身忍者,,
ミセスｋ,,
ABC1234,,
ユウイチ,,
HUTO,,
koda08,,
hfhgudiw,,
レオプ－,,
itsulove,,
monohon,,
ここ姫,,
チーズとクルミ,,
ゆみん,,
じぇいそんおずま,,
isamu713,,
優良会員・・・２,,
WKBXW,,
あさみ丼,,
ableeee,,
スーチーホイハン,,
わああああああい,,
CSU日麻小高手,,
不会配平,,
Bomzhong,,
桃李言わざれども,,
綿雪,,
Chairman,,
緑茶。,,
YZFTZ,,
暴力ペンギン,,
Heihei05,,
球1234,,
MIRA,,
yoshipin,,
kuroo,,
ROKU,,
狐千歳,,
MrIndigo,,
阿夫利,,
Boyan,,
sxc258,,
プロゴルファー8,,
モリヒロナラ,,
サチール,,
diid,,
Kanayama,,
こうちゃんnn,,
DrKanoto,,
時を駆ける爺,,
soer,,
Coffee,,
markino!,,
ぴかーる,2切れ間8曲げてた子で,
s7055,,
ハルカナイチゴ,,
140cut,,
モメンタム,,
olsn,,
Drうっちー,,
イチボ,,
175S1,,
フジヤンFT,,
福瑞,,
1Mercury,,
ぼくはガリレオ,,
waffle07,,
D5471,,
変態紳士＠,,
ピータン01,,
茶髪,,
穴澤妙哉,,
オール鳩ヶ谷,,
Alessia,,
ペンタ,,
kokounos,,
梅さん129,,
ふぁび2,,
正氣十足,,
oliver,特上8段。鳴き無し押しがちでダマとかある。,
純粋居飛車党,くそダマ満貫,
たこるん,,
おうもう,,
しんせんじにく,,
いいけん,,
lsajie,,
tampopo3,ラス目くっそダマ。多分他もダマ気味になってる,
緑の猿人,,
ぱむぱむ,,
洪湖,,
むらしゅー,,
alice7,,
Kanako_,,
やんわり,,
怯怯,,
FridaW89,,
mlicca,,
怪我の功名,,
かず坊,,
掉段皮人,,
teriri,,
かなかなカナ？,,
k2xx,,
alpha@de,,
'Chalo',謎モギリー両面、67で789三色手替わり見てた？,
天江衣@門前打点,,
厚岸,,
ponponsn,,
鳳凰双花紅棍,,
かネ,,
sjnmp001,通信遅延マン。ラグみたいなのこの人の捨て牌で起きまくったりする,
今、急所が埋まる,,
ざきゆう,,
